page,component,cms_component_name,level,hierarchy,available,status
RFP Form,N/A,N/A,3,Weddings > Plan your Wedding > RFP Form,False,SKIPPED: Page had no components defined.
Meetings and Events,M1-Inside Hero,M1-Inside Hero,1,Meetings and Events,True,SUCCESS: Assembled and marked for publishing.
Meetings and Events,A2-Modular Navigation,N/A,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L3-Intro with awards,L3-Intro with awards,1,Meetings and Events,True,SUCCESS: Assembled and marked for publishing.
Meetings and Events,L24-Amenities Icon,L24-Amenities Icon,1,Meetings and Events,True,SUCCESS: Assembled and marked for publishing.
Meetings and Events,L10-2 Column Snippet,N/A,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L13-Full Width Image CTA,L13-Full Width Image CTA,1,Meetings and Events,True,SUCCESS: Assembled and marked for publishing.
Meetings and Events,L31-Video + Quotes,L31-Video Quotes,1,Meetings and Events,True,SUCCESS: Assembled and marked for publishing.
Meetings and Events,L30-inside Page Gallery,L30-inside Page Gallery,1,Meetings and Events,True,SUCCESS: Assembled and marked for publishing.
Meetings and Events,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Meetings and Events,True,SUCCESS: Assembled and marked for publishing.
Event & Expo Spaces,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Event & Expo Spaces,True,SUCCESS: Assembled and marked for publishing.
Event & Expo Spaces,A2-Modular Navigation,N/A,2,Meetings and Events > Event & Expo Spaces,False,SKIPPED: Component not available.
Event & Expo Spaces,L1-Image Intro,L1-Image Intro,2,Meetings and Events > Event & Expo Spaces,True,SUCCESS: Assembled and marked for publishing.
Event & Expo Spaces,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Meetings and Events > Event & Expo Spaces,True,SUCCESS: Assembled and marked for publishing.
Event & Expo Spaces,L32-Chart Table,N/A,2,Meetings and Events > Event & Expo Spaces,False,SKIPPED: Component not available.
Event & Expo Spaces,L8-Feature Snippet,N/A,2,Meetings and Events > Event & Expo Spaces,False,SKIPPED: Component not available.
Event & Expo Spaces,L30-inside Page Gallery,L30-inside Page Gallery,2,Meetings and Events > Event & Expo Spaces,True,SUCCESS: Assembled and marked for publishing.
Meeting Services,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Meeting Services,True,SUCCESS: Assembled and marked for publishing.
Meeting Services,A2-Modular Navigation,N/A,2,Meetings and Events > Meeting Services,False,SKIPPED: Component not available.
Meeting Services,L25-Amenities Callout,N/A,2,Meetings and Events > Meeting Services,False,SKIPPED: Component not available.
Meeting Services,L5A-Rooms/Venue Snippet,L5A-Rooms Venue Snippet,2,Meetings and Events > Meeting Services,True,SUCCESS: Assembled and marked for publishing.
Meeting Services,L6-Image callout,L6-Image callout,2,Meetings and Events > Meeting Services,True,SUCCESS: Assembled and marked for publishing.
Meeting Services,L13-Full Width Image CTA,L13-Full Width Image CTA,2,Meetings and Events > Meeting Services,True,SUCCESS: Assembled and marked for publishing.
Special Occasions,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Special Occasions,True,SUCCESS: Assembled and marked for publishing.
Special Occasions,A2-Modular Navigation,N/A,2,Meetings and Events > Special Occasions,False,SKIPPED: Component not available.
Special Occasions,L1-Image Intro,L1-Image Intro,2,Meetings and Events > Special Occasions,True,SUCCESS: Assembled and marked for publishing.
Special Occasions,L5-Rooms/Venue Snippet,N/A,2,Meetings and Events > Special Occasions,False,SKIPPED: Component not available.
Reunions,N/A,N/A,3,Meetings and Events > Special Occasions > Reunions,False,SKIPPED: Page had no components defined.
Retreats,N/A,N/A,3,Meetings and Events > Special Occasions > Retreats,False,SKIPPED: Page had no components defined.
Social Events,N/A,N/A,3,Meetings and Events > Special Occasions > Social Events,False,SKIPPED: Page had no components defined.
Meeting Packages,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Meeting Packages,True,SUCCESS: Assembled and marked for publishing.
Meeting Packages,A2-Modular Navigation,N/A,2,Meetings and Events > Meeting Packages,False,SKIPPED: Component not available.
Meeting Packages,L1-Image Intro,L1-Image Intro,2,Meetings and Events > Meeting Packages,True,SUCCESS: Assembled and marked for publishing.
Meeting Packages,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Meetings and Events > Meeting Packages,True,SUCCESS: Assembled and marked for publishing.
Plan your Meeting,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Plan your Meeting,True,SUCCESS: Assembled and marked for publishing.
Plan your Meeting,A2-Modular Navigation,N/A,2,Meetings and Events > Plan your Meeting,False,SKIPPED: Component not available.
Plan your Meeting,L2-Content Only Intro,N/A,2,Meetings and Events > Plan your Meeting,False,SKIPPED: Component not available.
Plan your Meeting,L19-Form No Image,N/A,2,Meetings and Events > Plan your Meeting,False,SKIPPED: Component not available.
RFP Form,N/A,N/A,3,Meetings and Events > Plan your Meeting > RFP Form,False,SKIPPED: Page had no components defined.
Guest Rooms,Hero banner 1,Hero banner 1,1,Guest Rooms,True,SUCCESS: Assembled and marked for publishing.
Guest Rooms,Guest Rooms Module Navigation,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,l1-l8 Feature Left Image - 2,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L24 Amenities section 3,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L4 Zig zag feature box with gallery,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,Faqs-with-right-accordion,Faqs-with-right-accordion,1,Guest Rooms,True,SUCCESS: Assembled and marked for publishing.
Guest Rooms,M1-Inside Hero,M1-Inside Hero,1,Guest Rooms,True,SUCCESS: Assembled and marked for publishing.
Guest Rooms,A2-Modular Navigation,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L1-Image Intro,L1-Image Intro,1,Guest Rooms,True,SUCCESS: Assembled and marked for publishing.
Guest Rooms,L24-Amenities Icon,L24-Amenities Icon,1,Guest Rooms,True,SUCCESS: Assembled and marked for publishing.
Guest Rooms,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,1,Guest Rooms,True,SUCCESS: Assembled and marked for publishing.
Guest Rooms,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Guest Rooms,True,SUCCESS: Assembled and marked for publishing.
Parlor Rooms,N/A,N/A,2,Guest Rooms > Parlor Rooms,False,SKIPPED: Page had no components defined.
Deluxe Rooms,N/A,N/A,2,Guest Rooms > Deluxe Rooms,False,SKIPPED: Page had no components defined.
Standard Rooms,N/A,N/A,2,Guest Rooms > Standard Rooms,False,SKIPPED: Page had no components defined.
Suites,N/A,N/A,2,Guest Rooms > Suites,False,SKIPPED: Page had no components defined.
Balcony Rooms,N/A,N/A,2,Guest Rooms > Balcony Rooms,False,SKIPPED: Page had no components defined.
Room Packages,M1-Inside Hero,M1-Inside Hero,2,Guest Rooms > Room Packages,True,SUCCESS: Assembled and marked for publishing.
Room Packages,A2-Modular Navigation,N/A,2,Guest Rooms > Room Packages,False,SKIPPED: Component not available.
Room Packages,L1-Image Intro,L1-Image Intro,2,Guest Rooms > Room Packages,True,SUCCESS: Assembled and marked for publishing.
Room Packages,L5A-Rooms/Venue Snippet,L5A-Rooms Venue Snippet,2,Guest Rooms > Room Packages,True,SUCCESS: Assembled and marked for publishing.
Delaware On Draft Package,N/A,N/A,3,Guest Rooms > Room Packages > Delaware On Draft Package,False,SKIPPED: Page had no components defined.
Columbus Zoo Package,N/A,N/A,3,Guest Rooms > Room Packages > Columbus Zoo Package,False,SKIPPED: Page had no components defined.
Advance Purchase Rate,N/A,N/A,3,Guest Rooms > Room Packages > Advance Purchase Rate,False,SKIPPED: Page had no components defined.
Senior/AARP,N/A,N/A,3,Guest Rooms > Room Packages > Senior/AARP,False,SKIPPED: Page had no components defined.
Government Rate,N/A,N/A,3,Guest Rooms > Room Packages > Government Rate,False,SKIPPED: Page had no components defined.
AAA Rate,N/A,N/A,3,Guest Rooms > Room Packages > AAA Rate,False,SKIPPED: Page had no components defined.
Group Block,M1-Inside Hero,M1-Inside Hero,2,Guest Rooms > Group Block,True,SUCCESS: Assembled and marked for publishing.
Group Block,A2-Modular Navigation,N/A,2,Guest Rooms > Group Block,False,SKIPPED: Component not available.
Group Block,L1-Image Intro,L1-Image Intro,2,Guest Rooms > Group Block,True,SUCCESS: Assembled and marked for publishing.
Group Block,A1-In-page Tabs,N/A,2,Guest Rooms > Group Block,False,SKIPPED: Component not available.
Group Block,L7-Image Accordion,N/A,2,Guest Rooms > Group Block,False,SKIPPED: Component not available.
Group Block,L33-Form Content,N/A,2,Guest Rooms > Group Block,False,SKIPPED: Component not available.
RFP Form,N/A,N/A,3,Guest Rooms > Group Block > RFP Form,False,SKIPPED: Page had no components defined.
Amenities,M1-Inside Hero,M1-Inside Hero,1,Amenities,True,SUCCESS: Assembled and marked for publishing.
Amenities,L2-Content Only Intro,N/A,1,Amenities,False,SKIPPED: Component not available.
Amenities,L24-Amenities Icon,L24-Amenities Icon,1,Amenities,True,SUCCESS: Assembled and marked for publishing.
Amenities,L5-Rooms/Venue Snippet,N/A,1,Amenities,False,SKIPPED: Component not available.
Amenities,L8-Feature Snippet,N/A,1,Amenities,False,SKIPPED: Component not available.
Amenities,L24A-Amenities Icon,N/A,1,Amenities,False,SKIPPED: Component not available.
Amenities,L11-3 Column Snippet,N/A,1,Amenities,False,SKIPPED: Component not available.
Amenities,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Amenities,True,SUCCESS: Assembled and marked for publishing.
Dining,M1-Inside Hero,M1-Inside Hero,1,Dining,True,SUCCESS: Assembled and marked for publishing.
Dining,L1-Image Intro,L1-Image Intro,1,Dining,True,SUCCESS: Assembled and marked for publishing.
Dining,L5-Rooms/Venue Snippet,N/A,1,Dining,False,SKIPPED: Component not available.
Dining,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Dining,True,SUCCESS: Assembled and marked for publishing.
The Pub,N/A,N/A,2,Dining > The Pub,False,SKIPPED: Page had no components defined.
Catering,N/A,N/A,2,Dining > Catering,False,SKIPPED: Page had no components defined.
Lobby Grab & Go,N/A,N/A,2,Dining > Lobby Grab & Go,False,SKIPPED: Page had no components defined.
Explore Ohio,M1-Inside Hero,M1-Inside Hero,1,Explore Ohio,True,SUCCESS: Assembled and marked for publishing.
Explore Ohio,L1-Image Intro,L1-Image Intro,1,Explore Ohio,True,SUCCESS: Assembled and marked for publishing.
