page,component,cms_component_name,level,hierarchy,available,status
Weddings,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Weddings,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Our Spaces,M1-Inside Hero,M1-Inside Hero,2,Weddings > Our Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Our Spaces,A2-Modular Navigation,N/A,2,Weddings > Our Spaces,False,SKIPPED: Component not available.
Our Spaces,L1-Image Intro,L1-Image Intro,2,Weddings > Our Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Our Spaces,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Weddings > Our Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Our Spaces,L32-Chart Table,L32-Chart Table,2,Weddings > Our Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Our Spaces,L8-Feature Snippet,N/A,2,Weddings > Our Spaces,False,SKIPPED: Component not available.
Our Spaces,L30-inside Page Gallery,L30-inside Page Gallery,2,Weddings > Our Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Wedding Celebrations,M1-Inside Hero,M1-Inside Hero,2,Weddings > Wedding Celebrations,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Wedding Celebrations,A2-Modular Navigation,N/A,2,Weddings > Wedding Celebrations,False,SKIPPED: Component not available.
Wedding Celebrations,L1-Image Intro,L1-Image Intro,2,Weddings > Wedding Celebrations,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Wedding Celebrations,L5-Rooms/Venue Snippet,L5-Rooms Venue Snippet,2,Weddings > Wedding Celebrations,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Bridal Showers,N/A,N/A,3,Weddings > Wedding Celebrations > Bridal Showers,False,SKIPPED: Page had no components defined.
Elopements,N/A,N/A,3,Weddings > Wedding Celebrations > Elopements,False,SKIPPED: Page had no components defined.
Engagement Parties,N/A,N/A,3,Weddings > Wedding Celebrations > Engagement Parties,False,SKIPPED: Page had no components defined.
Honeymoons & Anniversaries,N/A,N/A,3,Weddings > Wedding Celebrations > Honeymoons & Anniversaries,False,SKIPPED: Page had no components defined.
Rehearsal Dinners,N/A,N/A,3,Weddings > Wedding Celebrations > Rehearsal Dinners,False,SKIPPED: Page had no components defined.
Send-Off Brunches,N/A,N/A,3,Weddings > Wedding Celebrations > Send-Off Brunches,False,SKIPPED: Page had no components defined.
Weddings & Receptions,N/A,N/A,3,Weddings > Wedding Celebrations > Weddings & Receptions,False,SKIPPED: Page had no components defined.
Wedding Packages,M1-Inside Hero,M1-Inside Hero,2,Weddings > Wedding Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Wedding Packages,A2-Modular Navigation,N/A,2,Weddings > Wedding Packages,False,SKIPPED: Component not available.
Wedding Packages,L1-Image Intro,L1-Image Intro,2,Weddings > Wedding Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Wedding Packages,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Weddings > Wedding Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Wedding Packages,L13-Full Width Image CTA,L13-Full Width Image CTA,2,Weddings > Wedding Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Meet the Team,M1-Inside Hero,M1-Inside Hero,2,Weddings > Meet the Team,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Meet the Team,A2-Modular Navigation,N/A,2,Weddings > Meet the Team,False,SKIPPED: Component not available.
Meet the Team,L1-Image Intro,L1-Image Intro,2,Weddings > Meet the Team,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Plan your Wedding,M1-Inside Hero,M1-Inside Hero,2,Weddings > Plan your Wedding,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Plan your Wedding,A2-Modular Navigation,N/A,2,Weddings > Plan your Wedding,False,SKIPPED: Component not available.
Plan your Wedding,L2-Content Only Intro,L2-Content Only Intro,2,Weddings > Plan your Wedding,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Plan your Wedding,L19-Form No Image,N/A,2,Weddings > Plan your Wedding,False,SKIPPED: Component not available.
Plan your Wedding,L7-Image Accordion,L7-Image Accordians,2,Weddings > Plan your Wedding,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Wedding Services,N/A,N/A,3,Weddings > Plan your Wedding > Wedding Services,False,SKIPPED: Page had no components defined.
Vendors,N/A,N/A,3,Weddings > Plan your Wedding > Vendors,False,SKIPPED: Page had no components defined.
RFP Form,N/A,N/A,3,Weddings > Plan your Wedding > RFP Form,False,SKIPPED: Page had no components defined.
Meetings and Events,M1-Inside Hero,M1-Inside Hero,1,Meetings and Events,True,SUCCESS: Content retrieved and added to assembly queue.
Meetings and Events,A2-Modular Navigation,N/A,1,Meetings and Events,False,SKIPPED: Component not available.
Meetings and Events,L3-Intro with awards,L3-Intro with awards,1,Meetings and Events,True,SUCCESS: Content retrieved and added to assembly queue.
Meetings and Events,L24-Amenities Icon,L24-Amenities Icon,1,Meetings and Events,True,SUCCESS: Content retrieved and added to assembly queue.
Meetings and Events,L10-2 Column Snippet,L10-2 Column Snippet,1,Meetings and Events,True,SUCCESS: Content retrieved and added to assembly queue.
Meetings and Events,L13-Full Width Image CTA,L13-Full Width Image CTA,1,Meetings and Events,True,SUCCESS: Content retrieved and added to assembly queue.
Meetings and Events,L31-Video + Quotes,L31-Video Quotes,1,Meetings and Events,True,SUCCESS: Content retrieved and added to assembly queue.
Meetings and Events,L30-inside Page Gallery,L30-inside Page Gallery,1,Meetings and Events,True,SUCCESS: Content retrieved and added to assembly queue.
Meetings and Events,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Meetings and Events,True,SUCCESS: Content retrieved and added to assembly queue.
Event and Expo Spaces,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Event and Expo Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Event and Expo Spaces,A2-Modular Navigation,N/A,2,Meetings and Events > Event and Expo Spaces,False,SKIPPED: Component not available.
Event and Expo Spaces,L1-Image Intro,L1-Image Intro,2,Meetings and Events > Event and Expo Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Event and Expo Spaces,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Meetings and Events > Event and Expo Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Event and Expo Spaces,L32-Chart Table,L32-Chart Table,2,Meetings and Events > Event and Expo Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Event and Expo Spaces,L8-Feature Snippet,N/A,2,Meetings and Events > Event and Expo Spaces,False,SKIPPED: Component not available.
Event and Expo Spaces,L30-inside Page Gallery,L30-inside Page Gallery,2,Meetings and Events > Event and Expo Spaces,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Meeting Services,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Meeting Services,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Meeting Services,A2-Modular Navigation,N/A,2,Meetings and Events > Meeting Services,False,SKIPPED: Component not available.
Meeting Services,L25-Amenities Callout,N/A,2,Meetings and Events > Meeting Services,False,SKIPPED: Component not available.
Meeting Services,L5A-Rooms/Venue Snippet,L5A-Rooms Venue Snippet,2,Meetings and Events > Meeting Services,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Meeting Services,L6-Image callout,L6-Image callout,2,Meetings and Events > Meeting Services,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Meeting Services,L13-Full Width Image CTA,L13-Full Width Image CTA,2,Meetings and Events > Meeting Services,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Special Occasions,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Special Occasions,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Special Occasions,A2-Modular Navigation,N/A,2,Meetings and Events > Special Occasions,False,SKIPPED: Component not available.
Special Occasions,L1-Image Intro,L1-Image Intro,2,Meetings and Events > Special Occasions,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Special Occasions,L5-Rooms/Venue Snippet,L5-Rooms Venue Snippet,2,Meetings and Events > Special Occasions,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Reunions,N/A,N/A,3,Meetings and Events > Special Occasions > Reunions,False,SKIPPED: Page had no components defined.
Retreats,N/A,N/A,3,Meetings and Events > Special Occasions > Retreats,False,SKIPPED: Page had no components defined.
Social Events,N/A,N/A,3,Meetings and Events > Special Occasions > Social Events,False,SKIPPED: Page had no components defined.
Meeting Packages,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Meeting Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Meeting Packages,A2-Modular Navigation,N/A,2,Meetings and Events > Meeting Packages,False,SKIPPED: Component not available.
Meeting Packages,L1-Image Intro,L1-Image Intro,2,Meetings and Events > Meeting Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Meeting Packages,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,2,Meetings and Events > Meeting Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Plan your Meeting,M1-Inside Hero,M1-Inside Hero,2,Meetings and Events > Plan your Meeting,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Plan your Meeting,A2-Modular Navigation,N/A,2,Meetings and Events > Plan your Meeting,False,SKIPPED: Component not available.
Plan your Meeting,L2-Content Only Intro,L2-Content Only Intro,2,Meetings and Events > Plan your Meeting,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Plan your Meeting,L19-Form No Image,N/A,2,Meetings and Events > Plan your Meeting,False,SKIPPED: Component not available.
RFP Form,N/A,N/A,3,Meetings and Events > Plan your Meeting > RFP Form,False,SKIPPED: Page had no components defined.
Guest Rooms,Hero banner 1,Hero banner 1,1,Guest Rooms,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Guest Rooms,Guest Rooms Module Navigation,Guest Rooms Module Navigation,1,Guest Rooms,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Guest Rooms,l1-l8 Feature Left Image - 2,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L24 Amenities section 3,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L4 Zig zag feature box with gallery,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,Faqs-with-right-accordion,Faqs-with-right-accordion,1,Guest Rooms,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Guest Rooms,M1-Inside Hero,M1-Inside Hero,1,Guest Rooms,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Guest Rooms,A2-Modular Navigation,N/A,1,Guest Rooms,False,SKIPPED: Component not available.
Guest Rooms,L1-Image Intro,L1-Image Intro,1,Guest Rooms,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Guest Rooms,L24-Amenities Icon,L24-Amenities Icon,1,Guest Rooms,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Guest Rooms,L4-Rooms/Venue Snippet,L4-Rooms Venue Snippet,1,Guest Rooms,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Guest Rooms,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Guest Rooms,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Parlor Rooms,N/A,N/A,2,Guest Rooms > Parlor Rooms,False,SKIPPED: Page had no components defined.
Deluxe Rooms,N/A,N/A,2,Guest Rooms > Deluxe Rooms,False,SKIPPED: Page had no components defined.
Standard Rooms,N/A,N/A,2,Guest Rooms > Standard Rooms,False,SKIPPED: Page had no components defined.
Suites,N/A,N/A,2,Guest Rooms > Suites,False,SKIPPED: Page had no components defined.
Balcony Rooms,N/A,N/A,2,Guest Rooms > Balcony Rooms,False,SKIPPED: Page had no components defined.
Room Packages,M1-Inside Hero,M1-Inside Hero,2,Guest Rooms > Room Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Room Packages,A2-Modular Navigation,N/A,2,Guest Rooms > Room Packages,False,SKIPPED: Component not available.
Room Packages,L1-Image Intro,L1-Image Intro,2,Guest Rooms > Room Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Room Packages,L5A-Rooms/Venue Snippet,L5A-Rooms Venue Snippet,2,Guest Rooms > Room Packages,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Delaware On Draft Package,N/A,N/A,3,Guest Rooms > Room Packages > Delaware On Draft Package,False,SKIPPED: Page had no components defined.
Columbus Zoo Package,N/A,N/A,3,Guest Rooms > Room Packages > Columbus Zoo Package,False,SKIPPED: Page had no components defined.
Advance Purchase Rate,N/A,N/A,3,Guest Rooms > Room Packages > Advance Purchase Rate,False,SKIPPED: Page had no components defined.
Senior/AARP,N/A,N/A,3,Guest Rooms > Room Packages > Senior/AARP,False,SKIPPED: Page had no components defined.
Government Rate,N/A,N/A,3,Guest Rooms > Room Packages > Government Rate,False,SKIPPED: Page had no components defined.
AAA Rate,N/A,N/A,3,Guest Rooms > Room Packages > AAA Rate,False,SKIPPED: Page had no components defined.
Group Block,M1-Inside Hero,M1-Inside Hero,2,Guest Rooms > Group Block,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Group Block,A2-Modular Navigation,N/A,2,Guest Rooms > Group Block,False,SKIPPED: Component not available.
Group Block,L1-Image Intro,L1-Image Intro,2,Guest Rooms > Group Block,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Group Block,A1-In-page Tabs,N/A,2,Guest Rooms > Group Block,False,SKIPPED: Component not available.
Group Block,L7-Image Accordion,L7-Image Accordians,2,Guest Rooms > Group Block,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Group Block,L33-Form Content,N/A,2,Guest Rooms > Group Block,False,SKIPPED: Component not available.
RFP Form,N/A,N/A,3,Guest Rooms > Group Block > RFP Form,False,SKIPPED: Page had no components defined.
Amenities,M1-Inside Hero,M1-Inside Hero,1,Amenities,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Amenities,L2-Content Only Intro,L2-Content Only Intro,1,Amenities,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Amenities,L24-Amenities Icon,L24-Amenities Icon,1,Amenities,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Amenities,L5-Rooms/Venue Snippet,L5-Rooms Venue Snippet,1,Amenities,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Amenities,L8-Feature Snippet,N/A,1,Amenities,False,SKIPPED: Component not available.
Amenities,L24A-Amenities Icon,N/A,1,Amenities,False,SKIPPED: Component not available.
Amenities,L11-3 Column Snippet,L11-3 Column Snippet,1,Amenities,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Amenities,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Amenities,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Dining,M1-Inside Hero,M1-Inside Hero,1,Dining,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Dining,L1-Image Intro,L1-Image Intro,1,Dining,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Dining,L5-Rooms/Venue Snippet,L5-Rooms Venue Snippet,1,Dining,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Dining,L15-Inside Page FAQs,L15-Inside Page FAQs,1,Dining,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
The Pub,N/A,N/A,2,Dining > The Pub,False,SKIPPED: Page had no components defined.
Catering,N/A,N/A,2,Dining > Catering,False,SKIPPED: Page had no components defined.
Lobby Grab & Go,N/A,N/A,2,Dining > Lobby Grab & Go,False,SKIPPED: Page had no components defined.
Explore Ohio,M1-Inside Hero,M1-Inside Hero,1,Explore Ohio,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
Explore Ohio,L1-Image Intro,L1-Image Intro,1,Explore Ohio,True,"SUCCESS: Component available, data retrieval skipped (non-targeted page)."
